no,candidate,constituency,party,cases,education,total_assets,liabilities
339,Anurag,GAINSARI,IND,3,Post Graduate,21512075,0
340,Anurag Kumar,RANIGANJ,Bharatiya Karyasth Sena,0,Graduate,982145,0
341,Anurag Mishra,BILGRAM MALLANWAN,BSP,3,Graduate,3749660,0
342,Anurag Pandey,SHAHGANJ,Sampoorna Samaj Party,0,Graduate,2020758,0
343,Anurag Singh,CHUNAR,BJP,2,Post Graduate,131070498,51807467
344,Anurag Singh,KANNAUJ (SC),BSP,0,Post Graduate,2264362,307368
345,Anurag Singh,LUCKNOW EAST,INC,0,Doctorate,135002968,20082250
346,Anurag Yadav,SAGRI,NCP,1,Post Graduate,840000,140000
347,Aparna Yadav,LUCKNOW CANTT.,SP,0,Post Graduate,229659126,81566542
348,Aqeel Ahmad Khan,BAREILLY,Peace Party,0,Literate,3325000,0
349,Aqeelur Rahman,ALLAHABAD SOUTH,Peace Party,1,12th Pass,1726631,0
350,Aqeelurrehman Khan,ASMOLI,BSP,0,Post Graduate,32889119,1922216
351,Aradhana Mishra Mona,RAMPUR KHAS,INC,0,12th Pass,323325844,0
352,Archana,CHHIBRAMAU,IND,0,Post Graduate,1900986,0
353,Archana,DIDARGANJ,IND,0,Post Graduate,11379436,0
354,Archana Devi,KASGANJ,IND,0,Post Graduate,38205396,5663000
355,Archana Pandey,CHHIBRAMAU,BJP,0,Post Graduate,30842565,46115
356,Archana Pandey,FAZILNAGAR,IND,0,Doctorate,40090291,0
357,Archana Singh,ANUPSHAHR,IND,0,Not Given,347000,0
358,Arif Anwar Hashmi,UTRAULA,SP,0,Post Graduate,48930422,4721792
359,Arif Husain,BILARI,Peace Party,0,12th Pass,6721828,0
360,Arimardan Singh,MAHOBA,BSP,7,10th Pass,102643975,0
361,Arjun,BANSI,IND,0,10th Pass,430000,0
362,Arjun Lal,HARGAON (SC),CPI(ML)(L),0,Graduate,725486,0
363,Arjun Singh,KHURJA (SC),BSP,1,Post Graduate,36133631,0
364,Arjun Singh,CHARKHARI,IND,0,12th Pass,778822,0
365,Arjun Singh,BARABANKI,Peace Party,0,12th Pass,7855000,0
366,Arjun Singh,BHAGWANTNAGAR,Bhartiya Shakti Chetna Party,0,12th Pass,2524959,0
367,Armaan Khan,LUCKNOW WEST,BSP,0,Graduate,55083833,3093864
368,Arman,TULSIPUR,Peace Party,0,12th Pass,52810,0
369,Arsad Mansuri,CHARTHAWAL,Akhil Bhartiya Vikas Congress Party,4,8th Pass,2120000,1390000
370,Arshad Ali,SAHASWAN,BSP,0,8th Pass,98460013,5265747
371,Arshad Ali Khan,MEHNAUN,BSP,1,Post Graduate,1315429,0
372,Arshad Ali Khan,BAREILLY,IND,0,Graduate,26400000,0
373,Arshad Jamal Siddiqui,BHOJPUR,SP,0,Graduate,146663857,8526996
374,Arshad Khan,PILIBHIT,BSP,2,12th Pass,6831408,589172
375,Arshad Khursheed,ITWA,BSP,0,10th Pass,64969907,15059932
376,Arshad Warsi,SUAR,Minorities Democratic Party,1,Literate,871500,0
377,Arti,AJAGARA (SC),IND,1,8th Pass,2152000,0
378,Arti,HATA,Apna Dal United Party,0,8th Pass,330500,0
379,Arti Rai,PALIA,CPI(ML)(L),0,Graduate,3030500,0
380,Arun,AMANPUR,IND,0,Graduate,5477510,0
381,Arun,BEHAT,RLD,2,12th Pass,10372508,1000000
382,Arun,PHOOLPUR PAWAI,BJP,3,Graduate,7893362,0
383,Arun Kumar,SALEMPUR(SC),CPI(ML)(L),0,Post Graduate,900000,650000
384,Arun Kumar,GORAKHPUR URBAN,IND,0,10th Pass,87500,0
385,Arun Kumar,TARABGANJ,IND,0,12th Pass,2004346,600000
386,Arun Kumar,SADAR,SP,1,12th Pass,6026353,0
387,Arun Kumar,BALAMAU (SC),IND,0,Graduate,127000,0
388,Arun Kumar,POWAYAN (SC),Bharatiya Subhash Sena,0,Illiterate,2165000,0
389,Arun Kumar,CHAIL,Rashtriya Janadhar Party,0,8th Pass,657636,0
390,Arun Kumar,NARAINI (SC),IND,0,8th Pass,50000,0
391,Arun Kumar,GARAUTHA,BSP,1,Literate,9269287,100000
392,Arun Kumar Mishra,AMRITPUR,BSP,0,Graduate,24439807,1568835
393,Arun Kumar Sahu,JHANSI NAGAR,Jan Adhikar Manch,0,10th Pass,85200,0
394,Arun Kumar Singh,RASARA,Jan Adhikar Party,0,Graduate,713500,4359
395,Arun Kumar Srivastava,GORAKHPUR URBAN,Peace Party,0,Graduate,16489758,0
396,Arun Kumari Kori,RASULABAD (SC),SP,0,Post Graduate,20394475,1157636
397,Arun Prakash Gupta,BADAUN,IND,0,Graduate,6000,0
398,Arun Veer Singh,MATERA,BJP,0,Graduate,76734011,0
399,Aruna Devi,TILHAR,IND,0,Literate,3915000,0
400,Aruna Devi,JASWANTNAGAR,IND,0,8th Pass,386000,0
401,Aruna Tomar,MAHARAJPUR,SP,0,12th Pass,42302804,18470000
402,Arunesh Jaiswal,ALLAHABAD SOUTH,RLD,0,Graduate,7561676,0
403,Arunesh Kumar Tewatia,MURADNAGAR,IND,0,Graduate,411054,0
404,Arvind,NAKUR,IND,0,10th Pass,211900,0
405,Arvind,BHOJPUR,IND,0,Graduate Professional,604000,0
406,Arvind,MARIHAN,CPI(M),0,Graduate Professional,475395,0
407,Arvind,PADRAUNA,IND,0,Graduate,3902000,0
408,Arvind,SHIVPUR,Jan Adhikar Party,1,Graduate,4276938,0
409,Arvind,SAHAJANWA,IND,1,Graduate Professional,2987000,40000
410,Arvind Giri,GOLA GOKRANNATH,BJP,8,Graduate Professional,31322571,3088157
411,Arvind Jhanjot,RAMPUR MANIHARAN(SC),Rashtriya Garib Dal,0,8th Pass,175000,0
412,Arvind Kumar,BHARTHANA (SC),VANCHITSAMAJ INSAAF PARTY,0,Post Graduate,929100,0
413,Arvind Kumar,SHAMLI,Bahujan Mukti Party,0,Others,491000,105000
414,Arvind Kumar,BHOJPUR,IND,0,10th Pass,648200,0
415,Arvind Kumar,RAMPUR KHAS,RLD,0,Post Graduate,5565842,0
416,Arvind Kumar,LAMBHUA,IND,0,Graduate,421311,0
417,Arvind Kumar,JHANSI NAGAR,Swatantra Jantaraj Party,0,10th Pass,11270000,0
418,Arvind Kumar,KASTA (SC),CPI,0,Graduate,350000,0
419,Arvind Kumar,BANSDIH,IND,0,Literate,44428,0
420,Arvind Kumar,MAJHAWAN,IND,0,12th Pass,1941000,0
421,Arvind Kumar Gond,BALLIA NAGAR,Gondvana Gantantra Party,0,Post Graduate,1556750,0
422,Arvind Kumar Rai,SIKANDERPUR,IND,0,Graduate Professional,23551090,210000
423,Arvind Kumar Shukla,BANSI,Bahujan Maha Party,0,Post Graduate,2820000,0
424,Arvind Kumar Shukla,BADLAPUR,Bhartiya Nav Vikas Party,0,12th Pass,855000,0
425,Arvind Kumar Yadav,LAMBHUA,RLD,1,10th Pass,1068000,100000
426,Arvind Rajbhar,BANSDIH,Suheldev Bhartiya Samaj Party,1,Post Graduate,296343,0
427,Arvind Sen,HAPUR,Sarvodaya Bharat Party,0,Post Graduate,38563559,8183174
428,Arvind Sharma,DIBIYAPUR,Lok Dal,0,Post Graduate,2786160,0
429,Arvind Singh,CHHIBRAMAU,SP,0,Graduate,57547288,1058638
430,Arvind Singh,BHONGAON,IND,1,Graduate Professional,12422727,105605
431,Arvind Singh,BILSI,Rashtravadi Pratap Sena,0,Graduate,198000,0
432,Arvinda Kumar Singh,RAM NAGAR,SP,1,Graduate Professional,21311940,0
433,Asaphak,CHHAPRAULI,Ittehad-E-Millait Council,1,8th Pass,2214788,0
434,Asarpat Singh,NAJIBABAD,IND,0,12th Pass,704101,0
435,Asha,SAHAJANWA,Shoshit Samaj Dal,0,Post Graduate,474033,0
436,Asha Kumar,MIRZAPUR,IND,0,Post Graduate,13918462,695774
437,Asha Maurya,MOHMOODABAD,BJP,3,Graduate,45990465,0
438,Asha Ram,JALALABAD,United Citizen Party,1,10th Pass,1873764,0
439,Asha Ram,MARIYAHU,Manav Kranti Party,0,Post Graduate,3056927,0
440,Asha Ram,ALAPUR (SC),IND,0,10th Pass,204000,0
441,Asha Yadav,SIKANDRABAD,RLD,0,12th Pass,33526640,0
442,Ashafak,NAJIBABAD,Apna Desh Party,0,Literate,1255000,0
443,Ashani Singh,BAIRIA,IND,0,Graduate,5865881,1500000
444,Asharfi,DUDDHI (ST),Gondvana Gantantra Party,0,Graduate Professional,587000,0
445,Asharfi,CHAIL,Rashtriya Bahujan Congress Party,0,Illiterate,550000,0
446,Ashfaq,BADLAPUR,Lok Dal,0,Not Given,1005000,200000
447,Ashfaq Ali Khan,NAUGAWAN SADAT,RLD,0,Graduate Professional,12950634,798125
448,Ashfaq Khan,SITAPUR,BSP,0,Graduate Professional,23630039,8796129
449,Ashis,HUSAINGANJ,SHS,0,Graduate Professional,433880,0
450,Ashish,CHHIBRAMAU,IND,0,Post Graduate,100000,0
451,Ashish,MAJHAWAN,Shoshit Sandesh Party,0,12th Pass,2180000,0
452,Ashish Kumar,MAHOLI,IND,0,Literate,10000,0
453,Ashish Kumar,SIRATHU,Bahujan Mukti Party,1,Post Graduate,13275000,50000
454,Ashish Kumar Singh,BILGRAM MALLANWAN,BJP,0,Graduate Professional,15105395,12510000
455,Ashish Kumar Yadav,ETAH,Lok Dal,0,12th Pass,44165602,0
456,Ashish Nigam,KISHNI (SC),IND,0,Graduate,6108200,4900000
457,Ashish Pratap Singh,SHOHRATGARH,IND,0,Post Graduate,16413084,6859701
458,Ashish Singh,ETAWAH,Lok Dal,1,10th Pass,14508015,1000000
459,Ashish Singh,CHITRAKOOT,RLD,0,Post Graduate,5334000,0
460,Ashish Tyagi,BAGHPAT,IND,0,5th Pass,313525,0
461,Ashish Yadav,SHEKHUPUR,SP,1,12th Pass,34628427,0
462,Ashok,CAIMPIYARGANJ,IND,0,Literate,957000,0
463,Ashok Agrawal,MATHURA,RLD,0,Post Graduate,118830734,14724363
464,Ashok Kumar,SHIKOHABAD,Bharatiya Subhash Sena,0,5th Pass,1665000,0
465,Ashok Kumar,MAINPURI,BJP,0,12th Pass,1883840,200000
466,Ashok Kumar,RANIGANJ,IND,0,Graduate,161000,0
467,Ashok Kumar,SORAON (SC),IND,0,Graduate,135500,0
468,Ashok Kumar,MEHNAUN,IND,0,Graduate Professional,2336386,0
469,Ashok Kumar,SARENI,IND,0,12th Pass,388454,0
470,Ashok Kumar,AGRA RURAL (SC),IND,0,8th Pass,180000,0
471,Ashok Kumar,SADAR,IND,0,Post Graduate,1794648,0
472,Ashok Kumar,VARANASI NORTH,IND,0,Post Graduate,51203664,22351000
473,Ashok Kumar,GHAZIPUR,IND,0,12th Pass,966000,0
474,Ashok Kumar Dubey,PHULPUR,Pragatisheel Manav Samaj Party,1,12th Pass,1637000,0
475,Ashok Kumar Gautam,BARA (SC),BSP,0,Graduate,16551373,1445900
476,Ashok Kumar Mishra,PATIYALI,IND,0,Graduate,19384000,0
477,Ashok Kumar Pandey,KOIL,Akhil Bharat Hindu Mahasabha,0,Post Graduate,1403500,0
478,Ashok Kumar Rana,DHAMPUR,BJP,8,12th Pass,62753223,11038871
479,Ashok Kumar Sen,KATEHARI,RLD,0,Graduate Professional,3182718,0
480,Ashok Kumar Shakya,JASWANTNAGAR,Jan Adhikar Manch,0,10th Pass,6656000,0
481,Ashok Kumar Sharama,MURADNAGAR,IND,0,Graduate Professional,18519252,0
482,Ashok Kumar Singh,SARENI,INC,0,10th Pass,28551749,12196749
483,Ashok Kumar Singh,DOMARIYAGANJ,Peace Party,1,Graduate Professional,12710000,3500000
484,Ashok Kumar Singh Chandel,HAMIRPUR,BJP,9,Graduate Professional,22109446,6290026
485,Ashok Singh,RAMPUR KHAS,BSP,0,Graduate,23708334,0
486,Ashok Tripathi,PRATAPGARH,BSP,0,Graduate,11142938,8680000
487,Ashok Yadav,SIRSAGANJ,IND,0,Graduate Professional,3408568,0
488,Ashraf,ASMOLI,Kisan Shakti Jantantrik Party,0,12th Pass,2820000,0
489,Ashraf Qureshi,AGRA SOUTH,IND,0,Graduate,340504157,166174785
490,Ashtosh Varshney,SAHASWAN,BJP,0,10th Pass,16598583,0
491,Ashutoosh Bajpai,ALLAHABAD NORTH,Sarvajan Kalyan Loktantrik Party,0,Post Graduate,5500,0
492,Ashutosh,SHAHABAD,IND,0,Post Graduate,1432000,0
493,Ashutosh,UNNAO,IND,0,Not Given,2273647,0
494,Ashutosh,SULTANPUR,CPI,0,Post Graduate,55615134,0
495,Ashutosh,BHATPAR RANI,SP,0,Doctorate,24167161,0
496,Ashutosh,MADHUBAN,Deshbhakt Nirman Party,0,12th Pass,761000,0
497,Ashutosh Kumar,SEVAPURI,IND,0,Not Given,0,0
498,Ashutosh Mourya Alias Rajoo,BISAULI (SC),SP,0,10th Pass,52958608,0
499,Ashutosh Singh,VARANASI NORTH,Nirmal India Party,2,12th Pass,1737142,929214
500,Ashutosh Singh Chauhan,LUCKNOW NORTH,IND,0,Graduate Professional,1930171,0
501,"Ashutosh Tandan \""Gopal Ji\""",LUCKNOW EAST,BJP,1,Graduate,59722374,0
502,Ashwani Kumar,BILGRAM MALLANWAN,Peace Party,0,Post Graduate,12273782,3026949
503,Ashwani Kumar Singh,BHATPAR RANI,IND,6,Post Graduate,10894000,600000
504,Ashwani Kumar Verma,BHINGA,IND,0,Graduate Professional,1085000,1000000
505,Asif Khan,SHAHABAD,BSP,0,Graduate,32563704,6187746
506,Asif Mirza,AMRITPUR,Poorna Swaraj Manch,5,Graduate,675585,0
507,Asim Khan,RAMPUR,RLD,0,Post Graduate,2592000,479915
508,Aslam Ali,DHOLANA,BSP,10,8th Pass,53400236,1184304
509,Aslam Khan,MATERA,IND,0,Literate,12791538,0
510,Aswani Kumar,PAYAGPUR,Lok Shahi Party (Secular),0,12th Pass,91600,0
511,Ata Ur Rehman,BAHERI,SP,0,Others,32035000,4862000
512,Atal Bihari,ETMADPUR,Rashtriya Krantikari Samajwadi Party,0,12th Pass,2293000,0
513,Atar Singh Kushwaha,DIBIYAPUR,CPI,0,Graduate,4380000,0
514,Ateeq Ahmad,THAKURDWARA,CPI(M),0,12th Pass,9705000,200000
515,Ateeq Ahmed Saifi,MORADABAD NAGAR,BSP,1,8th Pass,13185139,2953449
516,Atish Kumar,SIRSAGANJ,IND,0,Graduate,6676643,0
517,Atma Prakash,PRATAPGARH,SHS,0,Graduate,2577132,0
518,Atmaram,GARAUTHA,Bhartiya Shakti Chetna Party,0,8th Pass,880000,0
519,Atul,AGRA NORTH,SP,0,Graduate Professional,22432102,0
520,Atul,SARDHANA,SP,20,Graduate,20654742,601073
521,Atul Garg,GHAZIABAD,BJP,0,Graduate,121966511,81016447
522,Atul Goswami,ALIGARH,Lok Dal,0,Not Given,130000,0
523,Atul Khodawal,MEERUT SOUTH,IND,0,Illiterate,73000,0
524,Atul Kumar,AGRA SOUTH,Jan Adhikar Manch,0,Post Graduate,22155000,55000
525,Atul Kumar,THAKURDWARA,IND,0,Graduate,110000,0
526,Atul Kumar,GUNNAUR,IND,0,Graduate,18084270,870000
527,Atul Kumar,ZAMANIA,BSP,13,Graduate,33266670,2776935
528,Atul Saxena,BAREILLY CANTT.,RLD,0,Graduate Professional,104196503,38519567
529,Atul Singh,CHHATA,IND,0,Graduate,41675983,35027325
530,Avadhesh Kumar Verma,TILHAR,BSP,0,Graduate,50798868,4656856
531,Avadhesh Narayan,SADAR,RLD,0,Graduate Professional,10568021,0
532,Avadhesh Sharma,GOVERDHAN,Bharat Kalyan Party,0,Graduate,1101981,0
533,Avadhesh Singh,AGRA CANTT. (SC),RLD,0,Doctorate,102372774,51692029
534,Avadhesh Singh,PINDRA,BJP,0,Doctorate,27672434,1803653
535,Avdhesh Kumar,ATRAULI,Bharatiya Subhash Sena,0,12th Pass,374000,0
536,Avdhesh Kumar,RASULABAD (SC),Bharatiya Subhash Sena,0,Graduate,1172252,275000
537,Avinash,MEHNAUN,IND,0,Graduate,1642300,0
538,Avinash Kushvaha,ROBERTSGANJ,SP,0,Graduate,19410604,0
539,Avinash Trivedi,BAKSHI KAA TALAB,BJP,0,Graduate,23650407,705232
540,Avinash Yadav,MUBARAKPUR,Peace Party,0,12th Pass,2143638,544000
541,Avinesh Kumar Singh,MATHURA,Rashtriya Lokraj Party,0,Graduate,109186,0
542,Avneet Kumar,BHOJPUR,IND,1,12th Pass,3000,0
543,Avnish Kumar,SHIKOHABAD,IND,1,Graduate,331000,0
544,Avtar Singh Bhadana,MEERAPUR,BJP,1,8th Pass,120409690,0
545,Awaddesh,MENHDAWAL,IND,0,Graduate,4626000,0
546,Awadh Narayan Pandey,RUDRAPUR,Manuvadi Party,0,Graduate,2025000,0
547,Awadhesh,SAGRI,Pichhravarg Mahapanchayat Party,0,Graduate,477500,0
548,Awadhesh,GHAZIPUR,Janta Raj Party,0,12th Pass,918000,0
549,Awadhesh,RANIGANJ,Lok Dal,0,10th Pass,1024176,0
550,Awadhesh,MAHARAJPUR,Bhartiya Shakti Chetna Party,0,8th Pass,2717300,0
551,Awadhesh Kumar,HANDIA,IND,1,Graduate,33922135,13260615
552,Awadhesh Kumar Singh,MARIHAN,BSP,0,12th Pass,78676102,23250000
553,Awadhesh Prasad,MILKIPUR (SC),SP,1,Post Graduate,27261151,1000000
554,Awadhpal Singh Yadav,ALIGANJ,BSP,36,12th Pass,24383005,4000000
555,Awanish Pandey,PHAPHAMAU,IND,0,Post Graduate,2491883,0
556,Awasthi Bala Prasad,DHAURAHRA,BJP,0,Graduate Professional,22232559,493119
557,Awdhesh Kumar,KATEHARI,BJP,0,Post Graduate,13968131,0
558,Ayodhya Prasad,AYAH SHAH,SP,2,12th Pass,33616337,9557847
559,Ayodhya Prasad,BARA (SC),CPI,1,Graduate,490000,0
560,Aysha Begam,PURANPUR (SC),RLD,0,8th Pass,256000,0
561,Ayub Khan,GARHMUKTESHWAR,RLD,1,Graduate Professional,155170000,4400000
562,Ayyub Hasan,SAHARANPUR,RLD,0,8th Pass,3196920,0
563,Azad Ari Mardan,LALGANJ (SC),BSP,0,Graduate Professional,79457007,0
564,Azaharuddin,BIKAPUR,Bahujan Mukti Party,1,Graduate,572346,0
565,Azim Bhai,FIROZABAD,SP,14,Graduate,8137633,0
566,B.K Saini,MORADABAD NAGAR,SHS,0,Post Graduate,26289821,1000000
567,B.L.Rai,AYAH SHAH,IND,0,Graduate,378000,0
568,Baal Mukund,BALRAMPUR (SC),IND,0,Graduate,2100000,0
569,Baba,GHORAWAL,IND,0,Literate,35000,0
570,Babadeen,BALHA (SC),IND,0,5th Pass,2791000,0
571,Babau Singh,MAJHAWAN,IND,0,Post Graduate,10938476,160000
572,Babban,MUGHALSARAI,Pragatisheel Manav Samaj Party,0,8th Pass,136303000,30598000
573,Babita,MUZAFFAR NAGAR,Bhartiya Rashtriya Jansatta,0,10th Pass,480000,0
574,Babita Devi,TINDWARI,Ambedkar Samaj Party,0,Graduate,426000,0
575,Babita Singh,KARACHHANA,IND,0,Graduate,31748435,0
576,Babita Singh Maurya,AGRA CANTT. (SC),Rashtriya Samanta Dal,0,8th Pass,7766000,0
577,Babita Yadav,SAKALDIHA,IND,0,12th Pass,20000,500000
578,Babloo,SAHARANPUR,Ambedkar Samaj Party,0,Graduate,80000,0
579,Bablu,BARAUT,IND,0,Graduate,650185,0
580,Bablu,NIZAMABAD,IND,0,Literate,47000,0
581,Bablu Rawat,SAFIPUR (SC),RLD,0,8th Pass,51000,0
582,Babu Lal,AMETHI,Lok Dal,0,8th Pass,1820000,0
583,Babu Lal,SAIYADRAJA,IND,0,Literate,293000,0
584,Babu Lal,SAKALDIHA,Bharatiya Samaj Dal,0,12th Pass,20000,0
585,Babu Ram,BANGERMAU,Manavtawadi Samaj Party,1,Literate,4055816,0
586,Babu Ram,PURANPUR (SC),BJP,4,Graduate Professional,4373780,1000000
587,Babu Ram,FATEHPUR,IND,0,8th Pass,375569,0
588,Babulal,LAMBHUA,Bahujan Mukti Party,0,Literate,3041200,0
589,Babulal,PINDRA,BSP,0,8th Pass,322849160,15089204
590,Babulal,MUGHALSARAI,SP,7,Graduate Professional,17705094,0
591,Baburam,GHATAMPUR (SC),Jan Adhikar Manch,0,12th Pass,5940500,0
592,Baburam,BILHAUR (SC),Voters Party International,0,10th Pass,176500,0
593,Baburam Katheriya,RASULABAD (SC),IND,0,12th Pass,1590000,50000
594,Baburam Verma,NARAINI (SC),Ambedkar Samaj Party,0,12th Pass,2530000,0
595,Baby,RAMPUR MANIHARAN(SC),Kisan Shakti Jantantrik Party,0,5th Pass,333032,0
596,Bacchu Lal,MACHHLISHAHR (SC),IND,0,10th Pass,445000,0
597,Bachcha Lal,KATRA BAZAR,IND,0,Graduate,283564,0
598,Badal Chatterjee,ALLAHABAD NORTH,IND,0,Post Graduate,83477458,430201
599,Badaloo Khan,BANGERMAU,SP,0,12th Pass,43930463,7610000
600,Bahadur,OBRA (ST),CPI,0,Literate,300000,0
601,Bahadur Nishad,PIPRAICH,Bahujan Mukti Party,0,Graduate,8741000,0
602,Bahdur Singh Yadav,GUNNAUR,Sanyukt Samajwadi Dal,0,Graduate,8610350,0
603,Bahoran Lal Maurya,BHOJIPURA,BJP,0,Graduate,7016928,539205
604,Baijnath,KHALILABAD,IND,0,12th Pass,785000,0
605,Baijnath,PURWA,IND,0,12th Pass,5894000,0
606,Baijnath,KATRA BAZAR,SP,1,Graduate,21642569,1739543
607,Baijnath,AURAI (SC),BSP,2,Graduate,3227861,0
608,Baijnath,MUHAMMADABAD-GOHNA (SC),SP,0,10th Pass,10191995,291628
609,Baijnath Rawat,HAIDERGARH (SC),BJP,1,Post Graduate,12416501,3592204
610,Baijnath Urf Baddhnath,KHALILABAD,IND,0,8th Pass,2744000,0
611,Baijnath Verma,CHAURI-CHAURA,Bhartiya Sarvjan Party,0,8th Pass,550000,0
612,Bajrang Bahadur Singh,PHARENDA,BJP,0,Graduate,56639946,3588640
613,Bajrang Bali Dubey,SHAHGANJ,IND,0,Graduate,527000,0
614,Bakridan,DEORIA,IND,0,8th Pass,205000,0
615,Bal Chandra,MANJHANPUR (SC),IND,0,8th Pass,141000,0
616,Balaram,GARAUTHA,Swatantra Jantaraj Party,0,Post Graduate,1110970,0
617,Baldev Singh Aulakh,BILASPUR,BJP,0,Post Graduate,19861454,3045142
618,Balgovind,KALPI,IND,0,12th Pass,101200000,20000000
619,Balikaran,KADIPUR (SC),Most Backward Classes Of India,0,12th Pass,860600,0
620,Balkrishna,UNNAO,Bhartiya Shakti Chetna Party,0,Graduate Professional,2479221,0
621,Balram,BARA (SC),IND,0,8th Pass,9500,0
622,Balram Yadav,RUDAULI,RLD,1,10th Pass,3495290,186243
623,Balvan Singh,AKBARPUR-RANIYA,RLD,0,8th Pass,16415543,0
624,Balveer Singh,FIROZABAD,Bharatiya Kisan Parivartan Party,0,Graduate Professional,84500,0
625,Balveer Singh,DIBIYAPUR,IND,0,Graduate,375000,0
626,Balwan Singh,MAHARAJPUR,IND,0,10th Pass,5603618,0
627,Balwant Singh Yadav,SIKANDERPUR,IND,0,Graduate Professional,1855910,0
628,Bamba Lal,SAFIPUR (SC),BJP,0,Graduate,135930422,900000
629,Bandana Singh,SAGRI,BSP,0,Post Graduate,14403735,0
630,Bandehasan,SHEKHUPUR,Ittehad-E-Millait Council,0,12th Pass,225048,0
631,Bandhu,RASARA,Bahujan Mukti Party,0,12th Pass,260000,0
632,Bandhu Prasad,POWAYAN (SC),IND,0,Literate,1055000,0
633,Bani Singh Baghel,SIKANDRA RAO,BSP,0,Graduate,13802294,1166432
634,Bankelal,AMRITPUR,IND,0,Literate,225000,0
635,Banshi Dhar Baudh,BALHA (SC),SP,0,Literate,3649183,0
636,Banshi Lal,AYODHYA,Bahujan Mukti Party,3,Post Graduate,6075615,1000235
637,Banshi Singh,KHURJA (SC),INC,0,8th Pass,8575307,0
638,Banshnarayan,MARIYAHU,RLD,0,Graduate Professional,21853515,0
639,Banti Lal,DHANGHATA (SC),IND,0,Graduate,1202528,0
640,Banwari Lal Dohare,KANNAUJ (SC),BJP,1,Graduate Professional,19961594,210000
641,Barakhu Ram,BELTHARA ROAD (SC),Gondvana Gantantra Party,0,10th Pass,4078000,0
642,Barmeshwar,BAIRIA,RLD,0,Post Graduate,17592352,0
643,Basadev,BHATPAR RANI,RLD,0,Graduate Professional,3223200,0
644,Basant Kumar,MAU,CPI(ML)(L),2,Graduate,1732000,0
645,Basant Lal,SULTANPUR,RLD,0,10th Pass,8187000,0
646,Basant Lal,MARIHAN,CPI(ML)(L),1,Literate,295000,0
647,Basudev Sharma,BAH,Bharatiya Subhash Sena,0,8th Pass,1991000,0
648,Bawan Singh,KATRA BAZAR,BJP,0,Graduate,32488662,1101641
649,Bechai,LALGANJ (SC),SP,0,Graduate,5714786,1640164
650,Bechelal,BALHA (SC),IND,0,8th Pass,4540000,0
651,Bed Babu,DATAGANJ,Jan Seva Sahayak Party,0,Graduate,95000,0
652,Beena Singh,GHORAWAL,BSP,0,Graduate,21352862,350000
653,Begraj,BIJNOR,Rashtriya mahan Gantantra Party,0,8th Pass,3199694,0
654,Bhagat Ram,PAYAGPUR,INC,1,Post Graduate,21151673,20000
655,Bhagelu Ram,KADIPUR (SC),BSP,0,Graduate Professional,38308224,3774936
656,Bhagvan Das,ATRAULI,Swatantra Jantaraj Party,0,12th Pass,45000,0
657,Bhagwan Das,BALHA (SC),Rashtriya mahan Gantantra Party,0,Literate,1125000,0
658,Bhagwan Das Katheria,MOHAN (SC),INC,0,Post Graduate,7735947,0
659,Bhagwan Deen,BALAMAU (SC),Bharatiya Subhash Sena,0,12th Pass,850000,0
660,Bhagwan Singh Kushwaha,KHERAGARH,BSP,0,Post Graduate,18207250,3099601
661,Bhagwandeen,AMETHI,IND,0,5th Pass,172000,0
662,Bhagwandeen,KUNDA,IND,0,Graduate,1424132,0
663,Bhagwat Saran Gangwar,NAWABGANJ,SP,1,12th Pass,26724479,0
664,Bhagwati Prasad,BILHAUR (SC),BJP,0,Graduate Professional,39415991,0
665,Bhai Lal,CHHANBEY (SC),SP,0,10th Pass,14136543,300000
666,Bhaiya Ram Yadav,ALLAHABAD NORTH,IND,0,Literate,399357,0
667,Bhakt Prakash,CHUNAR,CPI(ML)(L),0,10th Pass,6097500,0
668,Bhanu Pratap,PHOOLPUR PAWAI,Mahakranti Dal,0,10th Pass,563598,0
669,Bhanu Pratap,MADHUBAN,Poorvanchal Peoples Party,0,12th Pass,3540000,0
670,Bhanu Pratap,COLONELGANJ,Bharatiya Subhash Sena,0,Graduate,36799,0
671,Bhanu Pratap Singh,MEERGANJ,Mahan Dal,0,Graduate,12790000,1700000
672,Bhanu Pratap Singh,SIKANDRABAD,Rashtriya Janhit Sangharsh Party,1,Post Graduate,5619417,2903912
673,Bhanupratap,JASWANTNAGAR,Bharatiya Subhash Sena,0,12th Pass,1330000,0
674,Bharat,ZAMANIA,Janta Raj Party,0,12th Pass,36500,0
675,Bharat,BHADOHI,SHS,0,10th Pass,30000,0
676,Bharat,BAIRIA,Purvanchal Janta Dal,1,Not Given,60500,0
677,Bharat Bhushan,JALALABAD,IND,0,10th Pass,820000,0
678,Bharat Ram Yadav,MALHANI,IND,0,10th Pass,224443,0
679,Bharat Singh,PIPRAICH,Rashtriya Janadhar Party,0,8th Pass,4215500,90000
680,Bharati Pandey,RAE BARELI,RLD,0,Others,4142000,0
681,Bharatlal,NARAINI (SC),INC,0,Post Graduate,5704416,37615
682,Bharatraj,SAHARANPUR NAGAR,Bahujan Mukti Party,0,Literate,1536500,0
683,Bharatvir,KHATAULI,IND,0,Literate,36500,0
684,Bhartendu Urf Martand,BHATPAR RANI,Naitik Party,0,Post Graduate,97800000,0
