no,candidate,constituency,party,cases,education,total_assets,liabilities
313,Anju Urf Muskan,HAPUR,RLD,0,12th Pass,4254513,0
314,Anju Vishwakarma,LUCKNOW CENTRAL,Mahila Swabhiman Party,0,Post Graduate,26000,0
315,Anjum Kamal,MEERAPUR,IND,0,Graduate Professional,1185000,0
316,Ankit Chaturvedi,MATHURA,Rashtriya Samajwadi Party (Secular),0,12th Pass,4085000,0
317,Ankit Parihar,BHAGWANTNAGAR,INC,0,Graduate Professional,3124484,0
318,Ankit Srivastava,SISHAMAU,Bharatiya Karyasth Sen,0,12th Pass,200100,0
319,Anmol Singh,CHUNAR,BSP,0,Post Graduate,71805019,1868292
320,Annpurna Jauhari,BAKSHI KAA TALAB,Param Digvijay Dal,0,Graduate,95000,0
321,Anoop,KHAIR (SC),BJP,0,10th Pass,1020000,100000
322,Anoop Kumar,BAKSHI KAA TALAB,Rashtriya Shahri Vikas Party,0,10th Pass,485000,0
323,Anoop Sachan,JAHANABAD,Jan Adhikar Party,0,10th Pass,12827940,2600000
324,Anoop Sanda,SULTANPUR,SP,7,Graduate,94822526,3150776
325,Ansar Ahamad,PHAPHAMAU,SP,0,8th Pass,53371112,671646
326,Ansar Ahmad,LUCKNOW NORTH,IND,0,Literate,81030,0
327,Anshu Mani Dhawan,SAHIBABAD,Sarvjan Samta Party,0,Graduate,3364610,600000
328,Anshu Tripathi,ALLAHABAD NORTH,IND,0,Doctorate,739283,0
329,Anshul Bharduaj,ATRAULI,Rashtriya Sawarn Dal,0,8th Pass,14000,48000
330,Anuddin Urf Auddin,HAMIRPUR,Nirbal Indian Shoshit Hamara Aam Dal,1,Graduate,4314506,0
331,Anugrah Narain Singh,ALLAHABAD NORTH,INC,0,Graduate Professional,11955375,0
332,Anuj Kumar,DHAURAHRA,Lok Dal,0,Graduate,797585,0
333,Anuj Kumar,SULTANPUR,Rashtriya Janadhar Party,0,Graduate,874000,0
334,Anup Agrawal,MATHURA,Bharat Kalyan Party,0,10th Pass,5060000,0
335,Anup Kumar Gupta,MAHOLI,SP,0,Graduate,420784842,22389293
336,Anupam Mishra,SEVATA,Swarajya Party Of India,0,Graduate,8312903,3800000
337,Anupama Arya,PIPRAICH,RLD,0,Graduate,17637847,458540
338,Anurag,SAROJINI NAGAR,SP,0,Graduate Professional,69062434,6915399
