Constituency,Candidate,Party,Votes
Uttar Pradesh - Etah,RAJESH KUMAR,Independent,361
Uttar Pradesh - Etah,YOGENDRAPAL SINGH,Independent,333
Uttar Pradesh - Etah,PRADEEP KUMAR,Jan Adhikar Party,274
Uttar Pradesh - Etah,MANOJ KUMAR,Independent,218
Uttar Pradesh - Etah,RAJESH KUMAR,Voters Party  International,127
Uttar Pradesh - Etah,OMENDRA SINGH,Independent,125
Uttar Pradesh - Etah,None of the Above,None of the Above,1277
Uttar Pradesh - Marhara,VIRENDRA,Bharatiya Janata Party,92507
Uttar Pradesh - Marhara,AMIT GAURAV,Samajwadi Party,59075
Uttar Pradesh - Marhara,SHALABH MAHESHWARI,Bahujan Samaj Party,31966
Uttar Pradesh - Marhara,KAILASH LODHI,Jan Adhikar Manch,2168
Uttar Pradesh - Marhara,HARENDRA KUMAR,Independent,1496
Uttar Pradesh - Marhara,RANJIT,Lok Dal,1159
Uttar Pradesh - Marhara,SHIVA RAJPUT,Independent,500
Uttar Pradesh - Marhara,RAM NIVAS,Voters Party  International,419
Uttar Pradesh - Marhara,BHU DEVI,Independent,369
Uttar Pradesh - Marhara,VIDHYARAM,Bharatiya Subhash Sena,329
Uttar Pradesh - Marhara,None of the Above,None of the Above,1351
Uttar Pradesh - Jalesar,SANJEEV KUMAR DIWAKAR,Bharatiya Janata Party,81502
Uttar Pradesh - Jalesar,RANJEET SUMAN,Samajwadi Party,61694
Uttar Pradesh - Jalesar,MOHAN SINGH HAPPY,Bahujan Samaj Party,35817
Uttar Pradesh - Jalesar,RAJKUMARI,Rashtriya Kranti Party,2375
Uttar Pradesh - Jalesar,RAMDAS DAGA,Independent,597
Uttar Pradesh - Jalesar,SURESH,Independent,489
Uttar Pradesh - Jalesar,DHARMENDRA PAL SINGH,Independent,385
Uttar Pradesh - Jalesar,GEETA DEVI,Independent,326
Uttar Pradesh - Jalesar,JAYPAL,Independent,267
Uttar Pradesh - Jalesar,None of the Above,None of the Above,1188
Uttar Pradesh - Mainpuri,RAJKUMAR ALIAS RAJU YADAV,Samajwadi Party,75787
Uttar Pradesh - Mainpuri,ASHOK KUMAR,Bharatiya Janata Party,66956
Uttar Pradesh - Mainpuri,MAHARAJ SINGH,Bahujan Samaj Party,48314
Uttar Pradesh - Mainpuri,SATYENDRA SINGH,Manav Hit Party,1257
Uttar Pradesh - Mainpuri,VINAY,Jan Adhikar Manch,684
Uttar Pradesh - Mainpuri,PRADEEP KUMAR,Rashtriya Lok Dal,636
Uttar Pradesh - Mainpuri,RAMNARESH,Bharatiya Subhash Sena,595
Uttar Pradesh - Mainpuri,SURJEET SINGH,Independent,365
Uttar Pradesh - Mainpuri,SURESH,Independent,339
Uttar Pradesh - Mainpuri,SANJEEV KUMAR,Independent,284
Uttar Pradesh - Mainpuri,MAHARAJ SINGH,Independent,266
Uttar Pradesh - Mainpuri,PAL SINGH,Independent,173
Uttar Pradesh - Mainpuri,None of the Above,None of the Above,1157
Uttar Pradesh - Bhongaon,RAM NARESH AGNIHOTRI,Bharatiya Janata Party,92697
Uttar Pradesh - Bhongaon,ALOK KUMAR,Samajwadi Party,72400
Uttar Pradesh - Bhongaon,SURENDRA SINGH,Bahujan Samaj Party,26041
Uttar Pradesh - Bhongaon,CHAKRAPAN,Bhartiya Vanchitsamaj Party,808
Uttar Pradesh - Bhongaon,SANDEEP KUMAR,Independent,696
Uttar Pradesh - Bhongaon,AJAY KUMAR,Voters Party  International,522
Uttar Pradesh - Bhongaon,PUSHPENDRA KUMAR,Bharatiya Subhash Sena,411
Uttar Pradesh - Bhongaon,SUNIL KUMAR,Independent,398
Uttar Pradesh - Bhongaon,HARIRAM SHAKYA,Rashtriya Kranti Party,308
Uttar Pradesh - Bhongaon,ARVIND SINGH,Independent,223
Uttar Pradesh - Bhongaon,None of the Above,None of the Above,1242
Uttar Pradesh - Kishani (SC),BRAJESH KUMAR,Samajwadi Party,80475
Uttar Pradesh - Kishani (SC),SUNIL KUMAR,Bharatiya Janata Party,63946
Uttar Pradesh - Kishani (SC),KAMLESH KUMARI,Bahujan Samaj Party,27858
Uttar Pradesh - Kishani (SC),SUMAN DIWAKAR,Jan Adhikar Manch,2724
Uttar Pradesh - Kishani (SC),GRISH KUMAR,Rashtriya Lok Dal,920
Uttar Pradesh - Kishani (SC),NETRAPAL,Bharatiya Subhash Sena,800
Uttar Pradesh - Kishani (SC),NATHOO RAM,Independent,442
Uttar Pradesh - Kishani (SC),LEENA SINGH,Independent,377
Uttar Pradesh - Kishani (SC),ASHISH NIGAM,Independent,363
Uttar Pradesh - Kishani (SC),AKHILESH,Independent,286
Uttar Pradesh - Kishani (SC),MEERA,Fauji Janta Party,254
Uttar Pradesh - Kishani (SC),None of the Above,None of the Above,1070
Uttar Pradesh - Karhal,SOBARAN SINGH YADAV,Samajwadi Party,104221
Uttar Pradesh - Karhal,RAMA SHAKYA,Bharatiya Janata Party,65816
Uttar Pradesh - Karhal,DALVIR,Bahujan Samaj Party,29676
Uttar Pradesh - Karhal,KAUSHAL YADAV,Rashtriya Lok Dal,4683
Uttar Pradesh - Karhal,LAL KUMAR,Rashtriya Kisan Majdoor Party,1713
Uttar Pradesh - Karhal,RANVIJAY SINGH,Bharatiya Subhash Sena,776
Uttar Pradesh - Karhal,PANNALAL,Independent,720
Uttar Pradesh - Karhal,VINAY,Independent,670
Uttar Pradesh - Karhal,SUNIL,Independent,531
Uttar Pradesh - Karhal,RAMPRAKASH,Independent,448
Uttar Pradesh - Karhal,None of the Above,None of the Above,1014
Uttar Pradesh - Gunnaur,AJEET KUMAR URF RAJU YADAV,Bharatiya Janata Party,107344
Uttar Pradesh - Gunnaur,RAM KHILADI SINGH,Samajwadi Party,95958
Uttar Pradesh - Gunnaur,MOHAMMAD ISLAM KHAN,Bahujan Samaj Party,16052
Uttar Pradesh - Gunnaur,AJEET,Independent,1292
Uttar Pradesh - Gunnaur,KUNWARPAL,Bharatiya Subhash Sena,1219
Uttar Pradesh - Gunnaur,SURESH CHANDRA,Independent,1062
Uttar Pradesh - Gunnaur,ATUL KUMAR,Independent,875
Uttar Pradesh - Gunnaur,HARISINGH,All India Forward Bloc,697
Uttar Pradesh - Gunnaur,BHADUR SINGH YADAV,Sanyukt Samajwadi Dal,593
Uttar Pradesh - Gunnaur,None of the Above,None of the Above,2639
Uttar Pradesh - Bisauli,KUSHAGRA SAGAR,Bharatiya Janata Party,100287
Uttar Pradesh - Bisauli,ASHUTOSH MAURYA ALIAS RAJU,Samajwadi Party,89599
Uttar Pradesh - Bisauli,MAJOR KAILASH SAGAR,Bahujan Samaj Party,32398
Uttar Pradesh - Bisauli,JAGVEER,Prajashakti Party Samdarshi,1508
Uttar Pradesh - Bisauli,HARI PRAKASH ARYA,Sanyukt Samajwadi Dal,1187
Uttar Pradesh - Bisauli,SURENDRA,Independent,1042
Uttar Pradesh - Bisauli,KM.YASHODA,Jan Adhikar Manch,632
Uttar Pradesh - Bisauli,None of the Above,None of the Above,2342
Uttar Pradesh - Sahaswan,OMKAR SINGH,Samajwadi Party,77543
Uttar Pradesh - Sahaswan,ARSHAD ALI,Bahujan Samaj Party,73274
Uttar Pradesh - Sahaswan,UMLESH YADAV,Rashtriya Parivartan Dal,57522
Uttar Pradesh - Sahaswan,ASHTOSH VARSHNEY,Bharatiya Janata Party,24152
Uttar Pradesh - Sahaswan,ANIL KUMAR,Rashtriya Lok Dal,2117
Uttar Pradesh - Sahaswan,RAJPAL SINGH,Bharatiya Subhash Sena,2048
Uttar Pradesh - Sahaswan,RIYASAT KHAN,Bharatiya Bahujan Parivartan  Party,1242
Uttar Pradesh - Sahaswan,None of the Above,None of the Above,2902
Uttar Pradesh - Bilsi,PT. RADHA KRISHAN SHARMA,Bharatiya Janata Party,82070
Uttar Pradesh - Bilsi,MUSARRAT ALI BITTAN,Bahujan Samaj Party,55091
Uttar Pradesh - Bilsi,VIMAL KRISHAN AGARWAL ALIAS PAPPI,Samajwadi Party,50848
Uttar Pradesh - Bilsi,RIZWAN ALI,Jan Adhikar Manch,1846
Uttar Pradesh - Bilsi,SATPAL SINGH,Independent,1285
Uttar Pradesh - Bilsi,ARVIND SINGH,Rashtravadi Pratap Sena,672
Uttar Pradesh - Bilsi,RAJENDRA SINGH,Independent,623
Uttar Pradesh - Bilsi,FAKIR CHANDRA MAURYA,Independent,540
Uttar Pradesh - Bilsi,CHANDRABHAN SINGH,Independent,413
Uttar Pradesh - Bilsi,FAQRUDDEN,Independent,378
Uttar Pradesh - Bilsi,PAWAN GULATI,Independent,334
Uttar Pradesh - Bilsi,None of the Above,None of the Above,1930
Uttar Pradesh - Badaun,MAHESH CHANDRA GUPTA,Bharatiya Janata Party,87314
Uttar Pradesh - Badaun,ABID RAZA KHAN,Samajwadi Party,70847
Uttar Pradesh - Badaun,BHUPENDRA SINGH,Bahujan Samaj Party,32641
Uttar Pradesh - Badaun,RAMSEWAK SINGH PATEL,Shivsena,14576
Uttar Pradesh - Badaun,SATISH CHANDRA,Independent,1127
Uttar Pradesh - Badaun,KHALID PERVAIZ,All India Majlis-E-Ittehadul Muslimeen,883
Uttar Pradesh - Badaun,HARINDRA SINGH YADAV,Independent,848
Uttar Pradesh - Badaun,AMARJEET SINGH,Bhartiya Bhaichara Party,699
Uttar Pradesh - Badaun,SACHIN PATHAK,Prajashakti Party Samdarshi,619
Uttar Pradesh - Badaun,MUZAFFAR ALI KHAN,Independent,490
Uttar Pradesh - Badaun,ABINAV RAJ,Independent,421
Uttar Pradesh - Badaun,ARUN PRAKASH GUPTA,Independent,273
Uttar Pradesh - Badaun,MAHESH KUMAR SHRIVASTAVA,Kalyankari Jantantrik Party,258
Uttar Pradesh - Badaun,KRISHAN PAL,Bharatiya Subhash Sena,240
Uttar Pradesh - Badaun,None of the Above,None of the Above,1509
Uttar Pradesh - Shekhupur,DHARMENDRA KUMAR SINGH SHAKYA,Bharatiya Janata Party,93702
Uttar Pradesh - Shekhupur,ASHISH YADAV,Samajwadi Party,70316
Uttar Pradesh - Shekhupur,MOHD. RIZWAN,Bahujan Samaj Party,64327
Uttar Pradesh - Shekhupur,KM. SARVESHA DEVI,Independent,1619
Uttar Pradesh - Shekhupur,RAJENDRA,Bharatiya Subhash Sena,1101
Uttar Pradesh - Shekhupur,KAMTA PRASAD,Mahan Dal,922
Uttar Pradesh - Shekhupur,ANESH PAL,Peace Party,899
Uttar Pradesh - Shekhupur,PRITI KASHYAP,Rashtriya Mazdoor Ekta Party,657
Uttar Pradesh - Shekhupur,BANDEHASAN,Ittehad-E-Millait Council,467
Uttar Pradesh - Shekhupur,None of the Above,None of the Above,1896
Uttar Pradesh - Dataganj,RAJEEV KUMAR SINGH URF BABBU BHAIYA,Bharatiya Janata Party,79110
Uttar Pradesh - Dataganj,SINOD KUMAR SHAKYA (DEEPU BHAIYA),Bahujan Samaj Party,53351
Uttar Pradesh - Dataganj,CAPTAIN ARJUN SINGH,Lok Dal,39029
Uttar Pradesh - Dataganj,PREM PAL SINGH YADAV,Indian National Congress,32243
Uttar Pradesh - Dataganj,DR SHAILESH PATHAK,Peace Party,11064
Uttar Pradesh - Dataganj,JITENDRA SINGH YADAV,Rashtriya Lok Dal,1898
Uttar Pradesh - Dataganj,MAN SINGH,Desh Shakti Party,1195
Uttar Pradesh - Dataganj,RAJVEER SHARMA,Bharatiya Subhash Sena,1181
Uttar Pradesh - Dataganj,RAJENDRA SINGH,Independent,1136
Uttar Pradesh - Dataganj,DR AJEET SINGH,Independent,995
Uttar Pradesh - Dataganj,VED BABU,Jan Seva Sahayak Party,903
Uttar Pradesh - Dataganj,RAJKUMAR,Bhartiya Bhaichara Party,746
Uttar Pradesh - Dataganj,None of the Above,None of the Above,1971
Uttar Pradesh - Baheri,CHHATRA PAL SINGH,Bharatiya Janata Party,108846
Uttar Pradesh - Baheri,NASEEM AHMAD,Bahujan Samaj Party,66009
Uttar Pradesh - Baheri,ATA UR REHMAN,Samajwadi Party,63841
Uttar Pradesh - Baheri,UBAID ULLAH KHAN,Mahan Dal,2658
Uttar Pradesh - Baheri,SATISH CHANDRA,Independent,977
Uttar Pradesh - Baheri,MANJOOR AHMED,Independent,836
Uttar Pradesh - Baheri,RAKESH KUMAR,Rashtriya Kisan Majdoor Party,718
Uttar Pradesh - Baheri,PRIYAVAN GANGWAR,Rashtriya Lok Dal,618
Uttar Pradesh - Baheri,FAUZUL,Independent,404
Uttar Pradesh - Baheri,SMT ANUPAMA MAURYA,Jan Adhikar Manch,335
Uttar Pradesh - Baheri,DHARAM PAL,Bharatiya Subhash Sena,327
Uttar Pradesh - Baheri,CHINTA MANI,Independent,316
Uttar Pradesh - Baheri,JAMEER AHMAD,Jan Shakti Ekta Party,226
Uttar Pradesh - Baheri,DUSHYANT KUMAR,Independent,195
Uttar Pradesh - Baheri,None of the Above,None of the Above,1479
Uttar Pradesh - Meerganj,DR. D.C. VERMA,Bharatiya Janata Party,108789
Uttar Pradesh - Meerganj,SULTAN BEG,Bahujan Samaj Party,54289
Uttar Pradesh - Meerganj,NARENDRA PAL SINGH,Indian National Congress,36938
Uttar Pradesh - Meerganj,BHANU PRATAP SINGH,Mahan Dal,2267
Uttar Pradesh - Meerganj,SHAKEEL AHMAD,Peace Party,1696
Uttar Pradesh - Meerganj,GANGA SINGH VERMA,Rashtriya Lok Dal,1255
Uttar Pradesh - Meerganj,CHAMPAT RAM,Bharatiya Subhash Sena,1125
Uttar Pradesh - Meerganj,LAIK AHMAD MANSURI,Bhartiya Imaandar Party,746
Uttar Pradesh - Meerganj,AMIT SINGH,Independent,715
Uttar Pradesh - Meerganj,CHANDRA BHOJ PATHAK,Independent,707
Uttar Pradesh - Meerganj,None of the Above,None of the Above,1749
Uttar Pradesh - Bhojipura,BAHORAN LAL MAURYA,Bharatiya Janata Party,100381
Uttar Pradesh - Bhojipura,SHAZIL ISLAM ANSARI,Samajwadi Party,72617
Uttar Pradesh - Bhojipura,SULEMAN BEG,Bahujan Samaj Party,49882
Uttar Pradesh - Bhojipura,SHER ALI ZAFRI,Ittehad-E-Millait Council,6494
Uttar Pradesh - Bhojipura,GAJENDER KUMAR,Rashtriya Lok Dal,1388
Uttar Pradesh - Bhojipura,MAHESH CHANDRA,Sarv Sambhaav Party,1159
Uttar Pradesh - Bhojipura,MUNENDRA KUMAR,Independent,1157
Uttar Pradesh - Bhojipura,ANEES KHAN,Independent,1093
Uttar Pradesh - Bhojipura,DORI LAL KASHYAP,Jan Shakti Ekta Party,911
Uttar Pradesh - Bhojipura,NOOR JAHAN JAFRI,Independent,609
Uttar Pradesh - Bhojipura,DEVDATT GANGWAR,Independent,602
Uttar Pradesh - Bhojipura,RAJENDRA PAL,Bharatiya Subhash Sena,575
Uttar Pradesh - Bhojipura,None of the Above,None of the Above,1763
Uttar Pradesh - Nawabganj,KESAR SINGH,Bharatiya Janata Party,93711
Uttar Pradesh - Nawabganj,BHAGWAT SARAN GANGWAR,Samajwadi Party,54569
Uttar Pradesh - Nawabganj,SHAILA TAHIR,Ittehad-E-Millait Council,36761
Uttar Pradesh - Nawabganj,VIRENDER SINGH GANGWAR,Bahujan Samaj Party,18948
Uttar Pradesh - Nawabganj,MO ASLAM,Rashtriya Lok Dal,1783
Uttar Pradesh - Nawabganj,RASHMI GANGWAR,Independent,1264
Uttar Pradesh - Nawabganj,RATAN LAL,Bharatiya Subhash Sena,1260
Uttar Pradesh - Nawabganj,MASTER CHHOTEY LAL GANGWAR,Peace Party,1227
Uttar Pradesh - Nawabganj,MO TAHIR,Independent,1071
Uttar Pradesh - Nawabganj,PRAHLAD RAM,Sarvajan Kalyan Loktantrik Party,1041
Uttar Pradesh - Nawabganj,TASABBAR HUSAIN,Independent,986
Uttar Pradesh - Nawabganj,NAEEM AHMAD,Independent,858
Uttar Pradesh - Nawabganj,None of the Above,None of the Above,1860
Uttar Pradesh - Faridpur,DR. SHYAM BIHARI LAL,Bharatiya Janata Party,83656
Uttar Pradesh - Faridpur,DR. SIYA RAM SAGAR,Samajwadi Party,58935
Uttar Pradesh - Faridpur,VIJAY PAL SINGH,Bahujan Samaj Party,37680
Uttar Pradesh - Faridpur,POONAM SEN,Rashtriya Lok Dal,3075
Uttar Pradesh - Faridpur,SHALINI SINGH,Independent,1927
Uttar Pradesh - Faridpur,VIJENDRA PAL,Lok Dal,1208
Uttar Pradesh - Faridpur,ULFAT SINGH KATHERIYA,Jan Seva Sahayak Party,990
Uttar Pradesh - Faridpur,DAULAT RAM,Peace Party,907
Uttar Pradesh - Faridpur,None of the Above,None of the Above,1831
Uttar Pradesh - Bithari Chainpur,RAJESH KUMAR MISHRA,Bharatiya Janata Party,96397
Uttar Pradesh - Bithari Chainpur,VEER PAL SINGH YADAV,Samajwadi Party,76886
Uttar Pradesh - Bithari Chainpur,VIRENDRA SINGH,Bahujan Samaj Party,53286
Uttar Pradesh - Bithari Chainpur,MOHD SHAREEF,Rashtriya Lok Dal,1102
Uttar Pradesh - Bithari Chainpur,BHUVNESHWAR SINGH,Ittehad-E-Millait Council,1055
Uttar Pradesh - Bithari Chainpur,SEEMA SRIVASTAVA,Prajashakti Party Samdarshi,995
Uttar Pradesh - Bithari Chainpur,DHARMENDRA SINGH,Independent,844
Uttar Pradesh - Bithari Chainpur,HASRAT ALI,Peace Party,827
Uttar Pradesh - Bithari Chainpur,MOHD HASAN,Bhartiya Imaandar Party,470
Uttar Pradesh - Bithari Chainpur,RITIK,Lokpriya Samaj Party,449
Uttar Pradesh - Bithari Chainpur,None of the Above,None of the Above,2647
Uttar Pradesh - Bareilly,DR. ARUN KUMAR,Bharatiya Janata Party,115010
Uttar Pradesh - Bareilly,PREM PRAKASH AGARWAL,Indian National Congress,86343
Uttar Pradesh - Bareilly,ER. ANEES AHAMAD KHAN,Bahujan Samaj Party,14588
Uttar Pradesh - Bareilly,TARKESHWAR CHATURVEDI,Communist Party of India,1754
Uttar Pradesh - Bareilly,AQEEL AHMAD KHAN,Peace Party,1073
Uttar Pradesh - Bareilly,SYED RASHID ALI,Independent,800
Uttar Pradesh - Bareilly,IQTAIDAR UDDIN,Rashtriya Lok Dal,643
Uttar Pradesh - Bareilly,MADHVI SAHU,Independent,591
Uttar Pradesh - Bareilly,RANJIT,Independent,513
Uttar Pradesh - Bareilly,SARTAJ ALVI,All India Forward Bloc,413
Uttar Pradesh - Bareilly,ARSHAD ALI KHAN,Independent,379
Uttar Pradesh - Bareilly,AMIT KHANDELWAL,Jan Shakti Ekta Party,345
Uttar Pradesh - Bareilly,None of the Above,None of the Above,1421
Uttar Pradesh - Bareilly Cantt.,RAJESH AGARWAL,Bharatiya Janata Party,88441
Uttar Pradesh - Bareilly Cantt.,MUJAHID HASSAN KHAN,Indian National Congress,75777
Uttar Pradesh - Bareilly Cantt.,RAJENDRA PRASAD GUPTA,Bahujan Samaj Party,14239
Uttar Pradesh - Bareilly Cantt.,ATUL SAXENA,Rashtriya Lok Dal,819
Uttar Pradesh - Bareilly Cantt.,RABIYA AKHTAR,Peace Party,698
Uttar Pradesh - Bareilly Cantt.,KAMAL KISHOR BALMEEKI,Independent,619
Uttar Pradesh - Bareilly Cantt.,JAI PRAKASH SAXENA,Pragatisheel Lok Manch,488
Uttar Pradesh - Bareilly Cantt.,MANJEET SINGH,Ittehad-E-Millait Council,459
Uttar Pradesh - Bareilly Cantt.,VIJAY KUMAR,Shivsena,332
Uttar Pradesh - Bareilly Cantt.,SUSHEEL KUMAR GAUTAM,Bahujan Mukti Party,260
Uttar Pradesh - Bareilly Cantt.,PRIYANKA KHANDELWAL,Jan Shakti Ekta Party,237
Uttar Pradesh - Bareilly Cantt.,None of the Above,None of the Above,1061
Uttar Pradesh - Aonla,DHARAM PAL SINGH,Bharatiya Janata Party,63165
Uttar Pradesh - Aonla,SIDHRAJ SINGH,Samajwadi Party,59619
Uttar Pradesh - Aonla,AGAM KUMAR MAURYA,Bahujan Samaj Party,54192
Uttar Pradesh - Aonla,PRADEEP SAXENA,Jan Jan Party,1005
Uttar Pradesh - Aonla,RAKHI RANI,Independent,735
Uttar Pradesh - Aonla,HARIOM SINGH,Independent,730
Uttar Pradesh - Aonla,RAJ PAL,Bharatiya Subhash Sena,469
Uttar Pradesh - Aonla,None of the Above,None of the Above,1794
Uttar Pradesh - Pilibhit,SANJAY SINGH GANGWAR,Bharatiya Janata Party,136486
Uttar Pradesh - Pilibhit,RIAZ AHMAD,Samajwadi Party,93130
Uttar Pradesh - Pilibhit,ARSHAD KHAN,Bahujan Samaj Party,14532
Uttar Pradesh - Pilibhit,CHANDARSEN,Jan Shakti Ekta Party,1010
Uttar Pradesh - Pilibhit,MOH YUSUF MALIK,Rashtriya Kisan Majdoor Party,989
Uttar Pradesh - Pilibhit,RAJRANI,Independent,964
Uttar Pradesh - Pilibhit,VIJAY SINGH GANGWAR,Independent,654
Uttar Pradesh - Pilibhit,BHOOPRAM ALIAS BHAWANI PRASAD,Rashtriya Lok Dal,639
Uttar Pradesh - Pilibhit,MUNESH SINGH,Independent,437
Uttar Pradesh - Pilibhit,SHAILENDRA KUMAR GANGWAR,Jan Adhikar Manch,433
Uttar Pradesh - Pilibhit,SHARAD JAISWAL,Independent,420
Uttar Pradesh - Pilibhit,CHOKHELAL,Bharatiya Subhash Sena,307
Uttar Pradesh - Pilibhit,None of the Above,None of the Above,1818
Uttar Pradesh - Barkhera,KISHAN LAL RAJPOOT,Bharatiya Janata Party,104595
Uttar Pradesh - Barkhera,HEMRAJ VERMA,Samajwadi Party,46665
Uttar Pradesh - Barkhera,DR. SHAILENDRA SINGH GANGWAR,Bahujan Samaj Party,28674
Uttar Pradesh - Barkhera,JAIDRATH ALIAS PRABAKTANAND,Rashtriya Lok Dal,22631
Uttar Pradesh - Barkhera,NIRANJAN SINGH,Rashtriya Kisan Majdoor Party,1797
Uttar Pradesh - Barkhera,SURYA PRAKASH,Independent,1103
Uttar Pradesh - Barkhera,SANTRAM VERMA,Independent,1044
Uttar Pradesh - Barkhera,KISHAN LAL,Bharatiya Subhash Sena,822
Uttar Pradesh - Barkhera,NARAYAN LAL,Independent,643
Uttar Pradesh - Barkhera,SARBAZ AHMAD,Sarv Sambhaav Party,633
Uttar Pradesh - Barkhera,AASHIF BEG,Independent,453
Uttar Pradesh - Barkhera,KEERAT PRASAD,Bahujan Mukti Party,268
Uttar Pradesh - Barkhera,PREM SWAROOP,Manav Kranti Party,243
Uttar Pradesh - Barkhera,None of the Above,None of the Above,2307
Uttar Pradesh - Puranpur,BABU RAM PASWAN,Bharatiya Janata Party,128493
Uttar Pradesh - Puranpur,PEETAM RAM,Samajwadi Party,89251
Uttar Pradesh - Puranpur,ER.K.K. ARVIND,Bahujan Samaj Party,20139
Uttar Pradesh - Puranpur,AYASHA BEGUM,Rashtriya Lok Dal,1658
Uttar Pradesh - Puranpur,NATTHO DEVI,Sarva Samaj Kalyan Party,1502
Uttar Pradesh - Puranpur,SHYAM BIHARI,Communist Party of India  (Marxist-Leninist)  (Liberation),1322
Uttar Pradesh - Puranpur,MAHENDRA KUMAR RAJ,Bharatiya Subhash Sena,1144
Uttar Pradesh - Puranpur,RAMESHWAR DAYAL,Independent,1064
Uttar Pradesh - Puranpur,None of the Above,None of the Above,2246
Uttar Pradesh - Bisalpur,AGYASH RAM SARAN VERMA,Bharatiya Janata Party,103498
Uttar Pradesh - Bisalpur,ANIS AHMAD KHAN ALIAS PHOOLBABU,Indian National Congress,62502
Uttar Pradesh - Bisalpur,DIVYA GANGWAR,Bahujan Samaj Party,45338
Uttar Pradesh - Bisalpur,BHEEMSEN SHARMA,Communist Party of India,2451
Uttar Pradesh - Bisalpur,DR.NAGESH CHANDRA PATHAK,Rashtriya Lok Dal,2127
Uttar Pradesh - Bisalpur,RAMRATAN VERMA,Rashtriya Kisan Majdoor Party,1906
Uttar Pradesh - Bisalpur,DESHRAJ VERMA,Independent,1067
Uttar Pradesh - Bisalpur,RAMPAL MISHRA,Independent,985
Uttar Pradesh - Bisalpur,SHYAM KISHOR VERMA,Bharatiya Subhash Sena,749
Uttar Pradesh - Bisalpur,None of the Above,None of the Above,2301
Uttar Pradesh - Katra,VEER VIKRAM SINGH PRINCE,Bharatiya Janata Party,76509
Uttar Pradesh - Katra,RAJESH YADAV,Samajwadi Party,59779
Uttar Pradesh - Katra,ADHIWAKTA RAJEEV KASHYAP,Bahujan Samaj Party,47471
Uttar Pradesh - Katra,VIVIDH KUMAR,Rashtriya Lok Dal,1288
Uttar Pradesh - Katra,SANJEEV KUMAR MISHRA,Independent,1243
Uttar Pradesh - Katra,SUNEETA DEVI,Mahan Dal,1015
Uttar Pradesh - Katra,SURAJ PAL,Independent,837
Uttar Pradesh - Katra,JAYVEER SINGH,Rashtriya Janadhar  Party,785
Uttar Pradesh - Katra,RAJ KUMAR,Independent,624
Uttar Pradesh - Katra,VEDRAM,Bharatiya Subhash Sena,594
Uttar Pradesh - Katra,DINESH,Jan Adhikar Manch,414
Uttar Pradesh - Katra,CHOTEY LAL,Independent,360
Uttar Pradesh - Katra,KRISHNA PAL SINGH,Independent,243
Uttar Pradesh - Katra,None of the Above,None of the Above,1830
Uttar Pradesh - Jalalabad,SHARADVIR SINGH,Samajwadi Party,75326
Uttar Pradesh - Jalalabad,MANOJ KASHYAP,Bharatiya Janata Party,66029
Uttar Pradesh - Jalalabad,NEERAJ KUSHWAHA MAURYA,Bahujan Samaj Party,58337
Uttar Pradesh - Jalalabad,AMIT PRIYADARSHI RAJPUT,Rashtriya Lok Dal,1306
Uttar Pradesh - Jalalabad,ASHA RAM,Independent,1281
Uttar Pradesh - Jalalabad,RAM PRAKASH,Bharatiya Subhash Sena,1175
Uttar Pradesh - Jalalabad,MOHD. AKIL,Bahujan Mukti Party,1149
Uttar Pradesh - Jalalabad,BHARAT BHUSHAN,Independent,1065
Uttar Pradesh - Jalalabad,JAY SHREE,Lok Dal,621
Uttar Pradesh - Jalalabad,JAGPAL,Rashtravadi Janata Party,429
Uttar Pradesh - Jalalabad,None of the Above,None of the Above,1614
Uttar Pradesh - Tilhar,ROSHAN LAL VERMA,Bharatiya Janata Party,81770
Uttar Pradesh - Tilhar,KUNWAR JITIN PRASADA,Indian National Congress,76065
Uttar Pradesh - Tilhar,AVADHESH KUMAR VERMA,Bahujan Samaj Party,31418
Uttar Pradesh - Tilhar,PRADIP KUMAR,Rashtriya Lok Dal,3983
Uttar Pradesh - Tilhar,RAGNI SINGH,Independent,1733
Uttar Pradesh - Tilhar,RAJESH YADAV,Sarv Sambhaav Party,1253
Uttar Pradesh - Tilhar,ANISH KUMAR SINGH,Bhartiya Imaandar Party,1225
Uttar Pradesh - Tilhar,PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,1178
Uttar Pradesh - Tilhar,RAKESH KUMAR,Independent,968
Uttar Pradesh - Tilhar,RAMESH PAL SINGH YADAV,Independent,946
Uttar Pradesh - Tilhar,SUKHVEER SINGH,Lok Dal,545
Uttar Pradesh - Tilhar,ARUNA DEVI,Independent,530
Uttar Pradesh - Tilhar,HARISH CHANDRA,Bharatiya Subhash Sena,521
Uttar Pradesh - Tilhar,SHIVAM SHARMA,Shivsena,431
Uttar Pradesh - Tilhar,None of the Above,None of the Above,1683
Uttar Pradesh - Powayan,CHETRAM,Bharatiya Janata Party,126635
Uttar Pradesh - Powayan,SHAKUNTLA DEVI,Samajwadi Party,54218
Uttar Pradesh - Powayan,GURBACHAN LAL,Bahujan Samaj Party,38797
Uttar Pradesh - Powayan,MAHENDRA,Sarv Sambhaav Party,1448
Uttar Pradesh - Powayan,DHIRENDRA PRASAD,Independent,1369
Uttar Pradesh - Powayan,ARUN KUMAR,Bharatiya Subhash Sena,1176
